ID,City,Country,Continent,Latitude,Longitude,Temperature (Fahrenheit),Humidity (%),Wind Speed,Cloudiness
53654,Mogadishu,SO,Africa,2.04,45.34,82.4,78,12.75,75
57000,Hobyo,SO,Africa,5.35,48.53,82.0,68,21.61,0
60019,Eyl,SO,Africa,7.98,49.82,84.52,61,23.29,0
64814,Bandarbeyla,SO,Africa,9.49,50.81,81.64,77,27.54,0
69559,Yarim,YE,Asia,14.3,44.38,73.45,25,5.61,80
70979,Sayyan,YE,Asia,15.17,44.32,75.97,23,4.38,92
77408,Bajil,YE,Asia,15.06,43.29,89.56,59,4.61,0
86049,Jalu,LY,Africa,29.03,21.55,78.22,29,4.05,0
87205,Darnah,LY,Africa,32.77,22.64,72.82,97,16.13,0
98182,Baghdad,IQ,Asia,33.3,44.38,100.4,18,9.17,0
100926,Umm Lajj,SA,Asia,25.02,37.27,81.55,81,5.06,0
101312,Turayf,SA,Asia,31.68,38.65,75.2,53,4.7,0
101628,Tabuk,SA,Asia,28.38,36.58,77.0,38,9.17,0
102651,Sabya,SA,Asia,17.15,42.62,93.2,71,8.05,20
103630,Najran,SA,Asia,17.54,44.22,95.0,17,4.5,0
104515,Mecca,SA,Asia,21.43,39.83,95.0,32,5.5,0
105299,Jizan,SA,Asia,16.89,42.56,93.2,71,8.05,20
107304,Buraydah,SA,Asia,26.33,43.97,95.0,20,12.75,0
110690,Abha,SA,Asia,18.22,42.5,80.69,39,6.93,0
113659,Tabas,IR,Asia,33.6,56.92,90.82,21,3.71,32
129512,Kalaleh,IR,Asia,37.38,55.49,69.31,90,3.94,36
135298,Esfarayen,IR,Asia,37.08,57.51,71.6,53,4.7,20
136702,Dehloran,IR,Asia,32.69,47.27,98.47,26,4.72,0
140463,Birjand,IR,Asia,32.86,59.22,89.6,15,6.93,0
145531,Saurimo,AO,Africa,-9.66,20.4,59.0,58,5.82,0
148088,Haftoni,AZ,Asia,38.76,48.76,66.78,53,6.93,40
149070,Utete,TZ,Africa,-7.99,38.76,78.4,53,5.61,0
155310,Magugu,TZ,Africa,-4.02,35.77,63.37,91,4.5,88
157429,Kilindoni,TZ,Africa,-7.91,39.67,79.48,97,15.9,0
161218,Mhango,TZ,Africa,-2.75,33.92,69.85,73,5.39,0
161616,Balkanabat,TM,Asia,39.51,54.36,73.27,26,5.39,20
161974,Gazanjyk,TM,Asia,39.24,55.52,71.65,43,8.19,8
162199,Annau,TM,Asia,37.89,58.52,77.0,22,9.17,0
178077,Wote,KE,Africa,-1.78,37.63,65.89,85,4.61,76
183027,Nyahururu,KE,Africa,0.03,36.37,60.85,100,3.71,32
187585,Marsabit,KE,Africa,2.34,37.99,71.65,85,9.98,68
191038,Kitui,KE,Africa,-1.37,38.02,64.27,91,6.96,68
204405,Uvira,CD,Africa,-3.41,29.14,69.94,78,2.93,48
211647,Lodja,CD,Africa,-3.52,23.6,73.81,82,1.92,0
212360,Kongolo,CD,Africa,-5.39,27.0,74.62,37,5.84,0
212902,Kindu,CD,Africa,-2.95,25.92,77.95,69,2.71,8
213940,Kasongo,CD,Africa,-4.43,26.67,76.15,32,3.6,8
215527,Kabinda,CD,Africa,-6.14,24.49,72.46,37,15.68,0
215976,Ilebo,CD,Africa,-4.33,20.59,73.72,87,2.37,0
217562,Butembo,CD,Africa,0.12,29.29,65.35,93,1.36,80
229059,Moyo,UG,Africa,3.66,31.72,68.5,100,4.38,92
230993,Kisoro,UG,Africa,-1.28,29.69,62.74,98,2.82,64
240498,Bangassou,CF,Africa,4.74,22.82,71.92,100,2.93,92
241131,Victoria,SC,Africa,-4.62,55.45,84.2,66,8.05,75
256492,Neon Karlovasion,GR,Europe,37.79,26.7,78.8,41,13.87,0
258175,Lixourion,GR,Europe,38.2,20.43,77.92,69,9.17,20
258377,Ligourion,GR,Europe,37.62,23.03,82.4,48,3.36,0
260895,Karpathos,GR,Europe,35.51,27.21,75.2,64,27.51,0
285663,Bayan,KW,Asia,29.3,48.05,102.2,21,5.61,5
286245,Sur,OM,Asia,22.57,59.53,89.2,82,3.83,0
286621,Salalah,OM,Asia,17.01,54.1,87.8,79,9.17,75
292223,Dubai,AE,Asia,25.27,55.3,102.2,29,5.82,0
292672,Sharjah,AE,Asia,25.36,55.39,98.85,29,5.82,0
292968,Abu Dhabi,AE,Asia,24.47,54.37,99.46,35,12.75,0
299900,Talas,TR,Asia,38.69,35.55,66.2,42,1.12,0
300075,Suruc,TR,Asia,36.98,38.42,77.0,44,8.05,0
300617,Sivas,TR,Asia,39.75,37.01,57.2,62,1.12,40
302043,Salihli,TR,Asia,38.48,28.15,70.03,35,2.59,0
303831,Nevsehir,TR,Asia,38.62,34.71,65.3,42,1.12,0
304355,Milas,TR,Asia,37.31,27.78,72.82,47,3.36,0
305681,Kumluca,TR,Asia,36.37,30.29,68.41,47,1.14,0
308463,Kayseri,TR,Asia,38.73,35.48,66.2,42,1.12,0
315372,Erzincan,TR,Asia,39.75,39.49,66.2,59,2.24,40
320871,Bor,TR,Asia,37.89,34.56,64.0,47,3.04,0
321082,Bingol,TR,Asia,38.88,40.49,64.9,73,2.82,0
331259,Mega,ET,Africa,4.06,38.32,64.45,88,5.73,92
335035,Harer,ET,Africa,9.31,42.13,72.82,81,4.16,0
336745,Gewane,ET,Africa,10.16,40.66,84.07,60,7.07,0
337771,Fiche,ET,Africa,9.77,38.74,56.98,100,3.83,36
338726,Dodola,ET,Africa,6.98,39.18,56.62,99,4.05,32
350203,Rosetta,EG,Africa,31.4,30.42,77.0,65,10.29,40
352733,Marsa Matruh,EG,Africa,31.35,27.25,75.2,78,13.87,40
358172,Dekernes,EG,Africa,31.09,31.59,75.2,78,4.7,40
359783,Asyut,EG,Africa,27.18,31.19,77.0,65,11.41,0
360923,Port Said,EG,Africa,25.34,30.55,82.81,28,6.17,0
364933,Umm Kaddadah,SD,Africa,13.6,26.69,80.2,18,10.76,0
367544,Sawakin,SD,Africa,19.1,37.33,88.84,51,3.6,0
370481,Marawi,SD,Africa,18.48,31.82,86.05,20,9.64,0
371745,Kutum,SD,Africa,14.2,24.66,77.86,19,8.97,0
373141,Kaduqli,SD,Africa,11.01,29.72,84.34,57,6.51,0
415189,Aden,YE,Asia,12.79,45.03,86.41,96,13.67,44
454584,Valdemarpils,LV,Europe,57.37,22.59,68.0,72,14.99,0
455786,Seda,LV,Europe,57.65,25.75,69.04,52,14.56,88
463217,Pichayevo,RU,Europe,51.79,41.22,68.95,59,8.3,0
468983,Yarensk,RU,Europe,62.17,49.09,47.35,64,3.71,76
469960,Vytegra,RU,Europe,61.01,36.45,56.44,62,14.0,24
470905,Vuktyl,RU,Europe,63.86,57.31,42.4,63,3.6,68
472722,Volkhov,RU,Europe,59.92,32.34,64.18,52,8.97,68
472761,Volgodonsk,RU,Europe,47.51,42.17,74.08,43,6.62,20
473994,Veshkayma,RU,Europe,54.05,47.12,69.67,58,15.68,8
474470,Verkhnyaya Toyma,RU,Europe,62.24,45.0,49.06,65,5.84,88
478565,Urussu,RU,Europe,54.6,53.47,67.96,62,15.68,20
478711,Urkarakh,RU,Europe,42.16,47.63,56.35,73,1.92,0
479071,Umba,RU,Europe,66.69,34.34,45.01,92,6.62,88
481955,Totskoye,RU,Europe,52.53,52.75,73.18,45,15.23,12
486015,Susanino,RU,Europe,58.15,41.61,63.1,63,14.0,36
490040,Sovetskiy,RU,Europe,56.76,48.47,59.5,100,9.86,76
491422,Sochi,RU,Europe,43.6,39.73,73.4,64,4.47,75
494275,Shiringushi,RU,Europe,53.85,42.77,69.22,58,13.11,12
498785,Sapernoye,RU,Europe,60.72,29.95,65.08,41,11.65,92
498904,Samur,RU,Europe,41.83,48.49,66.52,91,7.4,0
504409,Pryazha,RU,Europe,61.69,33.62,60.8,41,13.42,40
512576,Parfenyevo,RU,Europe,58.48,43.41,62.11,85,14.45,44
513328,Ozinki,RU,Europe,51.2,49.73,71.2,37,13.33,64
517739,Novouzensk,RU,Europe,50.46,48.14,70.48,34,13.0,80
517836,Novotroitsk,RU,Europe,51.2,58.3,71.6,40,24.61,0
523392,Naryan-Mar,RU,Europe,67.67,53.09,31.24,100,7.18,32
523583,Nagorsk,RU,Europe,59.32,50.8,55.63,70,6.06,76
525426,Monastyrshchina,RU,Europe,54.35,31.84,66.16,66,10.09,36
525426,Sobolevo,RU,Europe,54.43,31.9,66.16,66,10.09,36
525659,Mokshan,RU,Europe,53.44,44.61,66.88,57,17.25,12
528288,Maykor,RU,Europe,59.01,55.89,54.28,78,5.73,44
535417,Lev Tolstoy,RU,Europe,53.21,39.45,69.22,60,15.01,0
543133,Kozlovka,RU,Europe,55.84,48.25,63.55,82,15.66,75
543508,Kovdor,RU,Europe,67.56,30.47,42.58,100,6.62,92
544084,Koslan,RU,Europe,63.46,48.9,45.82,65,3.38,68
544318,Kosa,RU,Europe,59.94,54.99,51.85,91,4.72,8
544397,Kortkeros,RU,Europe,61.81,51.56,51.8,57,4.47,40
545353,Zarechnyy,RU,Europe,60.99,40.4,51.94,100,11.21,92
546105,Nikolskoye,RU,Europe,59.7,30.79,62.6,51,17.9,0
552256,Karpogory,RU,Europe,64.0,44.44,49.51,57,4.94,76
553725,Kamenka,RU,Europe,53.19,44.05,67.6,59,16.46,20
554318,Kalevala,RU,Europe,65.2,31.17,45.73,94,5.84,92
554830,Izhma,RU,Europe,65.01,53.91,42.85,53,3.6,0
556268,Ostrovnoy,RU,Europe,68.05,39.51,39.43,91,16.24,68
559752,Gornozavodsk,RU,Europe,58.37,58.33,53.02,71,9.64,80
565407,Dombarovskiy,RU,Europe,50.76,59.54,69.04,56,16.46,20
567183,Danilov,RU,Europe,58.19,40.17,63.37,69,15.35,44
576663,Bessonovka,RU,Europe,53.31,45.04,67.24,60,15.79,56
579728,Bakaly,RU,Europe,55.18,53.8,68.23,60,14.23,36
580676,Asekeyevo,RU,Europe,53.57,52.8,68.41,67,14.79,20
583345,Aleksandrov Gay,RU,Europe,50.14,48.57,70.03,33,13.67,92
584051,Svetlogorsk,RU,Europe,53.14,59.15,66.2,55,20.13,75
587207,Artyom,AZ,Asia,40.47,50.33,73.4,53,11.41,0
588204,Puka,EE,Europe,58.06,26.24,62.6,77,8.05,20
599161,Grigiskes,LT,Europe,54.68,25.08,68.0,56,9.17,0
601551,Akdepe,TM,Asia,42.05,59.39,73.4,10,9.17,0
602150,Umea,SE,Europe,63.83,20.26,53.6,37,27.51,0
608872,Makat,KZ,Asia,47.65,53.35,71.65,35,5.95,0
610611,Aqtobe,KZ,Asia,50.28,57.21,73.4,25,22.37,0
610612,Aktau,KZ,Asia,43.65,51.16,75.2,29,17.9,0
616659,Gogaran,AM,Asia,40.89,44.2,59.0,72,1.12,75
618426,Chisinau,MD,Europe,47.01,28.86,75.2,60,6.93,0
621277,Stolin,BY,Europe,51.89,26.85,73.45,66,6.4,0
621754,Slonim,BY,Europe,53.09,25.32,73.0,72,4.83,0
630752,Ylojarvi,FI,Europe,61.56,23.6,57.2,47,10.29,40
638936,Rovaniemi,FI,Europe,66.5,25.72,42.8,59,19.46,75
646006,Mikkeli,FI,Europe,61.69,27.27,57.2,47,16.11,0
649924,Kuusamo,FI,Europe,65.96,29.19,41.0,86,14.99,75
654901,Kajaani,FI,Europe,64.22,27.73,50.0,53,14.99,75
663926,Valea Argovei,RO,Europe,44.35,26.79,73.4,69,3.36,0
665790,Sulina,RO,Europe,45.16,29.65,65.17,100,1.92,88
668314,Sacele,RO,Europe,45.62,25.69,56.17,99,2.59,92
696204,Pryyutivka,UA,Europe,48.72,33.07,71.02,70,4.61,0
709334,Dzhankoy,UA,Europe,45.71,34.39,68.5,68,5.61,24
712092,Blagodatnoye,UA,Europe,47.7,37.42,74.71,35,6.62,0
725213,Beloslav,BG,Europe,43.19,27.7,71.6,78,6.93,20
730518,Kavarna,BG,Europe,43.43,28.33,71.6,78,6.93,20
746983,Gelibolu,TR,Asia,40.41,26.67,71.6,53,3.36,0
751388,Mus,TR,Asia,41.63,33.25,62.6,63,2.24,20
758282,Stary Sacz,PL,Europe,49.56,20.64,62.6,67,3.36,20
777019,Vardo,NO,Europe,70.37,31.11,41.0,86,14.99,75
778707,Mehamn,NO,Europe,71.03,27.85,42.8,81,11.41,75
779554,Honningsvag,NO,Europe,70.98,25.97,38.98,100,14.45,92
779683,Hammerfest,NO,Europe,70.66,23.68,40.41,100,16.11,75
780687,Berlevag,NO,Europe,70.86,29.09,41.85,81,11.41,75
780717,Batsfjord,NO,Europe,70.63,29.72,41.43,86,12.75,75
863061,Usinsk,RU,Europe,66.0,57.56,33.85,75,6.17,68
866062,Iskateley,RU,Europe,67.68,53.15,30.07,100,8.52,32
877747,Mtwara,TZ,Africa,-10.28,40.18,75.88,100,10.54,0
882100,Rusape,ZW,Africa,-18.53,32.12,48.52,59,3.94,0
884141,Norton,ZW,Africa,-17.87,30.7,54.1,65,8.19,0
889191,Karoi,ZW,Africa,-16.82,29.68,60.4,36,11.32,0
893485,Chiredzi,ZW,Africa,-21.05,31.67,59.77,78,11.21,8
893549,Chipinge,ZW,Africa,-20.19,32.62,58.6,74,2.71,0
902620,Mwinilunga,ZM,Africa,-11.73,24.43,55.0,63,5.28,0
905395,Mufulira,ZM,Africa,-12.55,28.24,56.71,49,9.75,0
915471,Kalabo,ZM,Africa,-15.0,22.67,57.7,60,3.6,0
921786,Mitsamiouli,KM,Africa,-11.38,43.28,82.4,61,8.05,20
921889,Fomboni,KM,Africa,-12.28,43.74,82.09,98,11.32,0
924492,Ntcheu,MW,Africa,-14.82,34.64,62.38,71,9.08,0
925789,Mulanje,MW,Africa,-16.03,35.5,65.62,70,2.93,0
933088,Serowe,BW,Africa,-22.4,26.7,50.32,50,5.5,0
933102,Sekoma,BW,Africa,-24.51,23.93,40.24,59,3.6,0
933162,Pilikwe,BW,Africa,-22.8,27.19,47.35,58,4.38,0
933995,Souillac,MU,Africa,-20.52,57.52,77.0,69,16.11,40
934322,Mahebourg,MU,Africa,-20.41,57.7,77.0,69,16.11,40
934479,Grand Gaube,MU,Africa,-20.01,57.66,77.0,69,16.11,40
934649,Cap Malheureux,MU,Africa,-19.98,57.61,77.0,69,16.11,40
935215,Saint-Philippe,RE,Africa,-21.36,55.77,77.7,57,19.46,20
946058,Umtata,ZA,Africa,-31.59,28.78,49.78,80,3.71,68
961226,Ritchie,ZA,Africa,-29.03,24.6,41.0,76,5.82,0
962367,Richards Bay,ZA,Africa,-28.77,32.06,58.78,100,12.77,100
964420,Port Elizabeth,ZA,Africa,-33.92,25.57,51.8,87,3.36,0
964432,Port Alfred,ZA,Africa,-33.59,26.89,54.64,100,7.29,12
964712,Plettenberg Bay,ZA,Africa,-34.05,23.37,53.11,100,4.72,0
967106,Oudtshoorn,ZA,Africa,-33.59,22.2,50.0,71,3.36,0
978895,Margate,ZA,Africa,-30.86,30.37,59.59,100,18.25,76
986134,Kuruman,ZA,Africa,-27.46,23.43,30.88,70,5.28,0
986717,Kruisfontein,ZA,Africa,-34.0,24.73,51.49,100,5.61,0
988290,Komatipoort,ZA,Africa,-25.43,31.95,65.17,67,15.01,32
991664,Kathu,ZA,Africa,-27.7,23.05,30.16,69,4.16,0
995573,Hoopstad,ZA,Africa,-27.83,25.91,36.64,100,3.38,0
1006984,East London,ZA,Africa,-33.02,27.91,53.6,76,8.05,75
1015776,Bredasdorp,ZA,Africa,-34.53,20.04,39.2,93,5.82,0
1021360,Ballitoville,ZA,Africa,-29.54,31.21,57.34,94,12.66,92
1024696,Dondo,MZ,Africa,-19.62,34.74,71.6,83,2.24,20
1026014,Tete,MZ,Africa,-16.16,33.59,66.34,75,4.16,0
1039536,Maxixe,MZ,Africa,-23.86,35.35,68.0,88,4.7,40
1039854,Matola,MZ,Africa,-25.97,32.47,67.33,60,20.49,0
1045114,Inhambane,MZ,Africa,-23.87,35.38,68.0,88,4.7,40
1052944,Angoche,MZ,Africa,-16.23,39.91,76.87,100,10.31,48
1053384,Toamasina,MG,Africa,-18.17,49.38,77.0,61,12.75,20
1056899,Sambava,MG,Africa,-14.27,50.17,76.78,100,20.71,80
1057095,Sakaraha,MG,Africa,-22.91,44.53,66.52,61,3.71,0
1059051,Miandrivazo,MG,Africa,-19.53,45.46,73.99,51,3.94,8
1059507,Marovoay,MG,Africa,-16.11,46.64,78.8,50,6.93,0
1067565,Beloha,MG,Africa,-25.17,45.06,69.22,63,6.29,0
1068971,Antsohihy,MG,Africa,-14.88,47.99,80.2,52,13.0,0
1071296,Antalaha,MG,Africa,-14.9,50.28,75.7,94,12.88,48
1072849,Ankazobe,MG,Africa,-18.32,47.12,62.6,59,3.36,20
1072879,Ankazoabo,MG,Africa,-22.29,44.51,70.57,55,5.06,8
1076194,Andilamena,MG,Africa,-17.01,48.57,64.09,73,6.17,8
1076454,Andapa,MG,Africa,-14.66,49.65,70.57,74,5.39,48
1079048,Ambovombe,MG,Africa,-25.18,46.09,68.23,95,4.94,0
1082243,Ambilobe,MG,Africa,-13.19,49.05,80.74,52,7.63,76
1083724,Ambanja,MG,Africa,-13.68,48.45,82.4,53,2.24,40
1090397,Bandrele,YT,Africa,-12.91,45.19,84.2,62,14.99,20
1090467,Boueni,YT,Africa,-12.9,45.08,84.2,62,14.99,20
1106643,Quatre Cocos,MU,Africa,-20.21,57.76,77.0,69,16.11,40
1106677,Bambous Virieux,MU,Africa,-20.34,57.76,77.0,69,16.11,40
1123004,Taloqan,AF,Asia,36.74,69.54,78.85,27,3.04,0
1131162,Panjab,AF,Asia,34.38,67.02,57.16,78,1.92,0
1131462,Uruzgan,AF,Asia,32.93,66.63,83.26,17,2.71,0
1140026,Herat,AF,Asia,34.35,62.22,84.2,39,11.41,0
1150965,Ranong,TH,Asia,9.96,98.62,87.8,74,8.05,40
1151464,Phangnga,TH,Asia,8.45,98.53,88.2,74,3.36,75
1152222,Mae Hong Son,TH,Asia,19.3,97.97,89.6,49,3.36,40
