ID,City,Country,Continent,Latitude,Longitude,Temperature (Fahrenheit),Humidity (%),Wind Speed,Cloudiness
49747,Xuddur,SO,Africa,4.12,43.89,87.64,41,18.61,32
50814,Wajid,SO,Africa,3.81,43.25,88.27,40,17.27,48
53654,Mogadishu,SO,Africa,2.04,45.34,81.21,94,22.62,8
57000,Hobyo,SO,Africa,5.35,48.53,87.28,57,21.41,12
58933,Garowe,SO,Africa,8.41,48.48,91.87,38,21.18,0
60019,Eyl,SO,Africa,7.98,49.82,88.0,56,22.75,0
64013,Bosaso,SO,Africa,11.28,49.18,93.0,77,14.23,0
64814,Bandarbeyla,SO,Africa,9.49,50.81,81.61,77,30.13,0
80509,Bardiyah,LY,Africa,31.76,25.09,77.65,84,6.76,0
81604,Suluq,LY,Africa,31.67,20.25,78.8,41,16.11,0
86049,Jalu,LY,Africa,29.03,21.55,97.54,26,5.86,0
87205,Darnah,LY,Africa,32.77,22.64,74.95,93,7.31,0
88319,Benghazi,LY,Africa,32.12,20.07,78.8,41,16.11,32
88533,Awjilah,LY,Africa,29.14,21.3,97.18,23,7.31,0
94298,Kifri,IQ,Asia,34.69,44.96,97.77,15,4.27,0
98112,Balad,IQ,Asia,34.02,44.15,104.2,16,8.77,0
100926,Umm Lajj,SA,Asia,25.02,37.27,88.63,65,8.32,0
101312,Turayf,SA,Asia,31.68,38.65,84.2,32,4.7,0
103630,Najran,SA,Asia,17.54,44.22,96.8,14,4.7,0
104515,Mecca,SA,Asia,21.43,39.83,96.8,16,4.7,0
105299,Jizan,SA,Asia,16.89,42.56,96.8,63,10.29,20
107304,Buraydah,SA,Asia,26.33,43.97,98.6,20,8.05,20
108410,Riyadh,SA,Asia,24.63,46.72,105.8,13,9.17,0
110690,Abha,SA,Asia,18.22,42.5,84.2,26,14.99,5
118826,Ramhormoz,IR,Asia,31.28,49.6,113.0,11,6.93,8
119374,Qeshm,IR,Asia,26.96,56.27,102.15,40,4.7,0
123941,Minab,IR,Asia,27.15,57.07,104.0,40,4.7,20
129512,Kalaleh,IR,Asia,37.38,55.49,95.2,41,4.74,0
133595,Lar,IR,Asia,27.66,54.32,105.8,18,4.7,0
134721,Fasa,IR,Asia,28.94,53.65,98.6,9,2.82,0
135298,Esfarayen,IR,Asia,37.08,57.51,84.2,28,4.7,0
140463,Birjand,IR,Asia,32.86,59.22,96.8,7,9.17,0
141584,Baneh,IR,Asia,35.99,45.88,91.4,22,3.36,20
141665,Bandar-e Lengeh,IR,Asia,26.56,54.88,95.0,56,6.93,0
141736,Bam,IR,Asia,29.11,58.36,104.29,11,7.65,12
142363,Babol,IR,Asia,36.55,52.68,78.8,69,6.93,75
142554,Hashtrud,IR,Asia,37.48,47.05,68.97,60,11.21,0
145724,Lucapa,AO,Africa,-8.42,20.74,77.29,44,11.45,0
148842,Wete,TZ,Africa,-5.06,39.73,80.44,100,25.55,0
149172,Urambo,TZ,Africa,-5.07,32.07,78.19,34,6.76,20
153176,Mpanda,TZ,Africa,-6.34,31.07,63.84,62,8.08,0
154576,Matongo,TZ,Africa,-2.38,34.08,77.11,69,9.55,0
157429,Kilindoni,TZ,Africa,-7.91,39.67,79.81,95,19.62,0
157738,Kigoma,TZ,Africa,-4.88,29.64,78.01,93,10.22,12
158597,Kahama,TZ,Africa,-3.83,32.6,80.08,32,11.79,0
161974,Gazanjyk,TM,Asia,39.24,55.52,93.13,27,11.01,92
162099,Buzmeyin,TM,Asia,38.05,58.21,89.6,22,11.41,0
164947,Salamiyah,SY,Asia,35.01,37.05,83.68,31,10.89,0
174448,Abu Kamal,SY,Asia,34.45,40.92,85.08,34,8.75,0
187585,Marsabit,KE,Africa,2.34,37.99,75.85,78,7.87,56
189741,Lamu,KE,Africa,-2.27,40.9,82.6,77,24.65,88
191038,Kitui,KE,Africa,-1.37,38.02,74.59,72,9.22,48
195821,Kabarnet,KE,Africa,0.5,35.74,59.0,93,2.24,90
196742,Homa Bay,KE,Africa,-0.53,34.45,66.2,93,3.51,75
204283,Watsa,CD,Africa,3.04,29.53,70.09,100,4.41,92
209598,Manono,CD,Africa,-7.3,27.4,71.49,41,16.8,0
210379,Lusambo,CD,Africa,-4.97,23.44,80.35,41,4.07,32
212902,Kindu,CD,Africa,-2.95,25.92,74.28,84,2.59,8
214389,Kaniama,CD,Africa,-7.57,24.18,78.73,32,6.64,0
217745,Bumba,CD,Africa,2.18,22.47,81.79,80,4.29,24
218680,Boende,CD,Africa,-0.28,20.88,73.83,92,3.04,44
233093,Kaabong,UG,Africa,3.51,34.14,65.5,99,6.2,92
236901,Ouadda,CF,Africa,8.07,22.4,72.84,95,8.41,8
239300,Gambo,CF,Africa,4.65,22.26,81.7,85,6.76,36
240210,Birao,CF,Africa,10.3,22.78,80.13,65,13.67,0
241131,Victoria,SC,Africa,-4.62,55.45,84.2,74,8.05,20
258175,Lixourion,GR,Europe,38.2,20.43,79.05,78,6.08,0
260114,Vrises,GR,Europe,35.49,23.89,84.2,51,4.7,0
260895,Karpathos,GR,Europe,35.51,27.21,78.8,61,11.41,0
286245,Sur,OM,Asia,22.57,59.53,90.34,81,1.72,0
286621,Salalah,OM,Asia,17.01,54.1,84.2,83,16.11,75
292672,Sharjah,AE,Asia,25.36,55.39,103.42,28,10.29,0
292968,Abu Dhabi,AE,Asia,24.47,54.37,104.0,29,12.75,0
295620,Ashqelon,IL,Asia,31.67,34.57,79.68,57,3.36,20
303827,Nigde,TR,Asia,37.97,34.68,72.79,21,3.96,0
304922,Malatya,TR,Asia,38.35,38.32,77.23,44,4.7,20
324190,Alanya,TR,Asia,36.55,32.0,78.1,86,2.95,68
330120,NEDJO,ET,Africa,9.5,35.5,65.86,100,3.85,92
333750,Jinka,ET,Africa,5.79,36.57,66.04,95,2.17,80
335733,Gimbi,ET,Africa,8.81,37.79,59.16,99,2.93,48
336454,Ginir,ET,Africa,7.14,40.71,70.14,80,4.27,0
338345,Edd,ER,Africa,13.93,41.69,90.48,30,2.71,68
347634,Tahta,EG,Africa,26.77,31.5,89.53,34,6.53,0
352733,Marsa Matruh,EG,Africa,31.35,27.25,87.1,43,7.76,0
364933,Umm Kaddadah,SD,Africa,13.6,26.69,82.38,16,7.18,8
370481,Marawi,SD,Africa,18.48,31.82,101.14,16,10.0,0
371745,Kutum,SD,Africa,14.2,24.66,93.76,17,8.99,0
372753,Kassala,SD,Africa,15.45,36.38,92.73,16,6.17,12
423549,Rumonge,BI,Africa,-3.97,29.44,76.93,92,7.65,8
454310,Ventspils,LV,Europe,57.39,21.56,53.6,46,18.34,0
456008,Rujiena,LV,Europe,57.9,25.33,55.24,35,19.51,68
464790,Zapolyarnyy,RU,Europe,69.43,30.82,41.0,83,11.41,75
468063,Yelan,RU,Europe,50.95,43.74,82.96,34,19.39,12
475030,Verkhniye Tatyshly,RU,Europe,56.29,55.86,67.08,79,16.13,64
478050,Ust-Kulom,RU,Europe,61.69,53.69,53.44,98,6.64,92
480716,Georgiyevskoye,RU,Europe,44.16,39.25,78.28,47,3.96,0
494366,Shimsk,RU,Europe,58.21,30.71,51.28,64,13.02,76
495062,Sheksna,RU,Europe,59.21,38.5,51.01,70,17.05,76
496285,Severodvinsk,RU,Europe,64.56,39.82,46.4,52,15.66,40
496934,Serdobsk,RU,Europe,52.46,44.21,80.26,39,21.18,20
497206,Losevo,RU,Europe,51.73,38.83,77.0,41,11.18,0
497927,Segezha,RU,Europe,63.74,34.31,40.21,81,13.58,76
498537,Sarmanovo,RU,Europe,55.25,52.59,73.4,49,22.37,40
505820,Povenets,RU,Europe,62.85,34.83,42.78,94,15.46,92
506763,Polyarnyy,RU,Europe,69.2,33.45,41.0,56,13.42,75
509234,Pitkyaranta,RU,Europe,61.57,31.48,48.58,78,14.92,88
509451,Pinyug,RU,Europe,60.25,47.79,54.21,95,6.17,20
511291,Perevolotskiy,RU,Europe,51.88,54.19,81.7,29,17.05,0
515267,Beloretsk,RU,Europe,58.67,52.48,59.38,88,21.3,92
515873,Oktyabrskiy,RU,Europe,55.61,37.97,54.82,72,8.95,75
517958,Novosheshminsk,RU,Europe,55.06,51.22,77.83,48,21.52,32
519027,Novobelokatay,RU,Europe,55.7,58.96,62.04,80,11.65,88
