,cityID,date,time,city,country,continent,latitude,longitude,temperature,humidity,windSpeed,cloudiness
0,2110227,2018-06-16,05:46,Butaritari,KI,Oceania,3.07,172.79,83.91,100,5.95,8
1,3366880,2018-06-16,05:46,Hermanus,ZA,Africa,-34.42,19.24,51.42,95,4.16,76
2,5062292,2018-06-16,05:46,Valley City,US,North America,46.92,-98.0,68.52,64,10.29,90
3,2448085,2018-06-16,05:46,Agadez,NE,Africa,16.97,7.99,87.8,38,11.41,24
4,777019,2018-06-16,05:46,Vardo,NO,Europe,70.37,31.11,52.14,76,14.56,0
5,3374346,2018-06-16,05:46,Ponta do Sol,CV,Africa,17.2,-25.09,70.23,100,13.56,64
6,1213855,2018-06-16,05:46,Sibolga,ID,Asia,1.74,98.78,82.02,72,2.93,64
7,2092164,2018-06-16,05:46,Lorengau,PG,Oceania,-2.02,147.27,83.91,100,7.74,80
8,1006984,2018-06-16,05:46,East London,ZA,Africa,-33.02,27.91,64.56,100,33.13,0
9,1806218,2018-06-16,05:46,Jiangyan,CN,Asia,32.51,120.12,83.19,53,12.1,92
10,2206939,2018-06-16,05:46,Bluff,NZ,Oceania,-46.6,168.33,49.89,98,4.61,8
11,4407665,2018-06-16,05:46,Kodiak,US,North America,39.95,-94.76,80.6,69,10.29,1
12,1260771,2018-06-16,05:46,Palasa,IN,Asia,18.77,84.42,88.41,81,17.58,0
13,2027296,2018-06-16,05:46,Aykhal,RU,Europe,65.95,111.51,71.58,46,9.64,68
14,3691954,2018-06-16,05:46,Sechura,PE,South America,-5.56,-80.82,64.92,91,10.09,12
15,933649,2018-06-16,05:46,Khakhea,BW,Africa,-24.69,23.5,36.75,75,3.04,0
16,780687,2018-06-16,05:46,Berlevag,NO,Europe,70.86,29.09,51.33,89,5.5,0
17,3938531,2018-06-16,05:46,Iberia,PE,South America,-11.41,-69.49,65.19,72,5.17,44
18,925498,2018-06-16,05:46,Mzimba,MW,Africa,-11.9,33.6,59.43,75,3.94,0
19,964432,2018-06-16,05:46,Port Alfred,ZA,Africa,-33.59,26.89,62.76,71,24.63,32
20,3874787,2018-06-16,05:46,Punta Arenas,CL,South America,-53.16,-70.91,39.2,93,9.17,90
21,3464364,2018-06-16,05:46,Ecoporanga,BR,South America,-18.37,-40.83,65.19,90,3.49,56
22,1490256,2018-06-16,05:46,Talnakh,RU,Europe,69.49,88.39,67.53,61,7.07,0
23,3833367,2018-06-16,05:46,Ushuaia,AR,South America,-54.81,-68.31,41.88,100,17.13,92
24,1516589,2018-06-16,05:46,Zhezkazgan,KZ,Asia,47.8,67.71,86.0,13,15.66,0
25,6185377,2018-06-16,05:46,Yellowknife,CA,North America,62.45,-114.38,53.6,81,5.82,20
26,546105,2018-06-16,05:46,Nikolskoye,RU,Europe,59.7,30.79,68.0,56,4.47,0
27,3369157,2018-06-16,05:46,Cape Town,ZA,Africa,-33.93,18.42,50.0,100,10.29,20
28,5954718,2018-06-16,05:46,Flin Flon,CA,North America,54.77,-101.88,57.45,81,10.09,48
29,119161,2018-06-16,05:46,Qorveh,IR,Asia,35.17,47.8,75.27,34,5.61,0
30,4030556,2018-06-16,05:46,Rikitea,PF,Oceania,-23.12,-134.97,74.82,100,24.85,12
31,6460307,2018-06-16,05:46,Kojnare,BG,Europe,43.35,24.13,64.02,100,0.47,80
32,3652764,2018-06-16,05:46,Puerto Ayora,EC,South America,-0.74,-90.35,71.22,100,11.99,8
33,934649,2018-06-16,05:46,Cap Malheureux,MU,Africa,-19.98,57.61,75.2,73,14.99,40
34,2065594,2018-06-16,05:46,Mount Isa,AU,Oceania,-20.73,139.49,69.8,26,14.99,0
35,933995,2018-06-16,05:46,Souillac,MU,Africa,-20.52,57.52,75.2,73,14.99,40
36,3146487,2018-06-16,05:46,Raudeberg,NO,Europe,61.99,5.14,50.02,93,9.17,92
37,5329649,2018-06-16,05:46,Blythe,US,North America,33.61,-114.59,84.2,48,13.87,1
38,2126199,2018-06-16,05:46,Cherskiy,RU,Europe,68.75,161.3,61.77,33,4.16,24
39,934322,2018-06-16,05:46,Mahebourg,MU,Africa,-20.41,57.7,75.2,73,14.99,40
40,1648636,2018-06-16,05:46,Bitung,ID,Asia,1.44,125.19,95.0,50,6.93,20
41,3054543,2018-06-16,05:46,Cegled,HU,Europe,47.17,19.8,65.61,77,6.93,75
42,3416888,2018-06-16,05:46,Grindavik,IS,Europe,63.84,-22.43,43.86,87,10.29,75
43,3471451,2018-06-16,05:46,Arraial do Cabo,BR,South America,-22.97,-42.02,68.34,100,3.38,92
44,86049,2018-06-16,05:46,Jalu,LY,Africa,29.03,21.55,78.42,54,13.22,100
45,1726449,2018-06-16,05:46,Basco,PH,Asia,20.45,121.97,82.47,100,22.06,80
46,2411397,2018-06-16,05:46,Georgetown,SH,Africa,-7.93,-14.42,77.43,100,16.8,32
47,2122090,2018-06-16,05:46,Pevek,RU,Europe,69.7,170.27,48.99,59,13.78,0
48,3840092,2018-06-16,05:46,Puerto Madryn,AR,South America,-42.77,-65.04,44.49,100,13.22,0
49,3114567,2018-06-16,05:46,Palafrugell,ES,Europe,41.92,3.16,62.6,93,2.24,20
50,2077963,2018-06-16,05:46,Albany,AU,Oceania,-35.02,117.88,67.71,58,8.41,8
51,4031574,2018-06-16,05:46,Provideniya,RU,Europe,64.42,-173.23,36.39,100,18.25,0
52,2136825,2018-06-16,05:46,Isangel,VU,Oceania,-19.55,169.27,74.82,100,14.56,0
53,2282006,2018-06-16,05:46,San-Pedro,CI,Africa,4.75,-6.64,75.99,100,5.73,92
54,2020871,2018-06-16,05:46,Lebedinyy,RU,Europe,58.52,125.52,66.54,51,3.49,12
55,1538648,2018-06-16,05:47,Toktogul,KG,Asia,41.87,72.95,52.23,90,2.37,20
56,3392998,2018-06-16,05:47,Monte Alegre,BR,South America,-6.07,-35.33,75.2,83,8.05,75
57,544084,2018-06-16,05:47,Koslan,RU,Europe,63.46,48.9,54.3,64,4.5,0
58,3909011,2018-06-16,05:47,San Rafael,BO,South America,-12.93,-64.87,58.71,74,14.12,12
59,336350,2018-06-16,05:47,Goba,ET,Africa,7.01,39.97,60.33,98,1.92,8
60,6170031,2018-06-16,05:47,Tuktoyaktuk,CA,North America,69.44,-133.03,35.6,80,10.29,75
61,2075265,2018-06-16,05:47,Busselton,AU,Oceania,-33.64,115.35,65.46,98,16.02,0
62,1795857,2018-06-16,05:47,Shaowu,CN,Asia,27.34,117.49,84.54,53,1.92,20
63,3377301,2018-06-16,05:47,Mabaruma,GY,South America,8.2,-59.78,77.97,93,5.17,92
64,708313,2018-06-16,05:47,Zatoka,UA,Europe,49.85,23.68,64.4,77,8.95,0
65,978895,2018-06-16,05:47,Margate,ZA,Africa,-30.86,30.37,62.4,75,21.83,0
66,5855927,2018-06-16,05:47,Hilo,US,North America,19.71,-155.08,75.2,83,8.05,90
67,4328010,2018-06-16,05:47,Houma,US,North America,29.6,-90.72,78.39,88,3.36,1
68,1639094,2018-06-16,05:47,Kuningan,ID,Asia,-6.98,108.49,87.69,52,3.38,12
69,4032243,2018-06-16,05:47,Vaini,TO,Oceania,-21.2,-175.2,73.4,69,5.82,20
70,486413,2018-06-16,05:47,Suksun,RU,Europe,57.15,57.4,48.27,82,12.77,92
71,5671996,2018-06-16,05:47,Polson,US,North America,47.69,-114.16,50.07,53,1.92,36
72,4252975,2018-06-16,05:47,Barrow,US,North America,39.51,-90.4,78.1,69,9.17,1
73,964420,2018-06-16,05:47,Port Elizabeth,ZA,Africa,-33.92,25.57,55.4,76,16.11,40
74,2071860,2018-06-16,05:47,Esperance,AU,Oceania,-33.86,121.89,66.27,62,5.5,0
75,528075,2018-06-16,05:47,Rassvet,RU,Europe,49.11,45.47,76.71,35,21.5,0
76,4020109,2018-06-16,05:47,Atuona,PF,Oceania,-9.8,-139.03,80.94,100,18.48,0
77,667306,2018-06-16,05:47,Sfantu Gheorghe,RO,Europe,44.65,26.83,72.5,73,3.36,40
78,2139521,2018-06-16,05:47,Noumea,NC,Oceania,-22.28,166.46,77.0,69,8.05,0
79,287832,2018-06-16,05:47,Ibra,OM,Asia,22.69,58.55,102.18,21,2.93,8
80,3424901,2018-06-16,05:47,Aasiaat,GL,North America,68.71,-52.87,35.76,100,2.15,0
